participant_id,choice_type,choice_id,third_alternative,Ax,Ay,Bx,By,Tx,Ty,choice
203,compromise,025,Ca,1309.0,-1.35,1923.0,-2.5,696.0,-0.21,B
203,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
203,pairwise,016,,26.0,9.0,33.0,5.0,,,A
203,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
228,pairwise,016,,26.0,9.0,33.0,5.0,,,B
228,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
228,compromise,015,Ca,-9.49,356.0,-6.49,259.0,-12.48,452.0,A
228,similarity,011,Sa,4.5,77.0,7.2,56.0,7.1,57.0,A
228,attraction,026,Db,-64.7,325.0,-39.3,203.0,-45.6,172.0,B
228,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
288,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
288,attraction,025,Da,1309.0,-1.35,1923.0,-2.5,1155.0,-1.64,T
288,pairwise,016,,26.0,9.0,33.0,5.0,,,B
288,similarity,026,Sa,-64.7,325.0,-39.3,203.0,-39.8,205.0,B
288,pairwise,011,,4.5,77.0,7.2,56.0,,,A
288,compromise,021,Cb,-19.93,14.55,-13.49,9.25,-7.05,3.95,B
43,attraction,018,Db,3.04,-4.97,5.62,-7.83,4.98,-8.55,B
43,compromise,016,Cb,26.0,9.0,33.0,5.0,40.0,1.0,B
43,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
43,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
43,similarity,025,Sb,1309.0,-1.35,1923.0,-2.5,1321.0,-1.37,T
43,pairwise,011,,4.5,77.0,7.2,56.0,,,A
25,compromise,026,Ca,-64.7,325.0,-39.3,203.0,-90.0,446.0,B
25,pairwise,011,,4.5,77.0,7.2,56.0,,,A
25,attraction,016,Db,26.0,9.0,33.0,5.0,31.0,4.0,A
25,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
25,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
25,similarity,025,Sb,1309.0,-1.35,1923.0,-2.5,1321.0,-1.37,B
229,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
229,attraction,036,Da,407.0,-2.58,452.0,-2.85,396.0,-2.65,B
229,compromise,021,Ca,-19.93,14.55,-13.49,9.25,-26.36,19.84,T
229,similarity,016,Sa,26.0,9.0,33.0,5.0,32.0,6.0,T
229,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
229,pairwise,011,,4.5,77.0,7.2,56.0,,,A
115,compromise,025,Cb,1309.0,-1.35,1923.0,-2.5,2537.0,-3.65,A
115,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
115,attraction,015,Da,-9.49,356.0,-6.49,259.0,-10.24,332.0,A
115,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
115,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
115,similarity,011,Sb,4.5,77.0,7.2,56.0,4.6,76.0,T
162,pairwise,021,,-19.93,14.55,-13.49,9.25,,,B
162,compromise,025,Cb,1309.0,-1.35,1923.0,-2.5,2537.0,-3.65,B
162,similarity,036,Sa,407.0,-2.58,452.0,-2.85,451.0,-2.84,B
162,pairwise,016,,26.0,9.0,33.0,5.0,,,B
162,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
162,attraction,011,Da,4.5,77.0,7.2,56.0,3.8,72.0,A
242,similarity,016,Sb,26.0,9.0,33.0,5.0,27.0,8.0,B
242,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
242,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
242,attraction,021,Da,-19.93,14.55,-13.49,9.25,-21.54,13.22,A
242,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
242,compromise,018,Cb,3.04,-4.97,5.62,-7.83,8.2,-10.69,B
208,similarity,025,Sb,1309.0,-1.35,1923.0,-2.5,1321.0,-1.37,B
208,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
208,compromise,026,Ca,-64.7,325.0,-39.3,203.0,-90.0,446.0,T
208,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
208,attraction,016,Da,26.0,9.0,33.0,5.0,24.0,8.0,A
208,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
204,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
204,attraction,011,Da,4.5,77.0,7.2,56.0,3.8,72.0,A
204,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
204,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
204,compromise,026,Ca,-64.7,325.0,-39.3,203.0,-90.0,446.0,T
204,similarity,015,Sa,-9.49,356.0,-6.49,259.0,-6.55,261.0,T
212,compromise,036,Ca,407.0,-2.58,452.0,-2.85,363.0,-2.32,T
212,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
212,similarity,015,Sa,-9.49,356.0,-6.49,259.0,-6.55,261.0,B
212,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
212,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
212,attraction,016,Db,26.0,9.0,33.0,5.0,31.0,4.0,B
308,attraction,025,Da,1309.0,-1.35,1923.0,-2.5,1155.0,-1.64,B
308,similarity,015,Sb,-9.49,356.0,-6.49,259.0,-9.43,354.0,T
308,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
308,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
308,compromise,018,Ca,3.04,-4.97,5.62,-7.83,0.47,-2.12,T
308,pairwise,011,,4.5,77.0,7.2,56.0,,,A
95,similarity,025,Sa,1309.0,-1.35,1923.0,-2.5,1911.0,-2.48,T
95,attraction,016,Db,26.0,9.0,33.0,5.0,31.0,4.0,A
95,compromise,011,Ca,4.5,77.0,7.2,56.0,1.9,97.0,A
95,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
95,pairwise,021,,-19.93,14.55,-13.49,9.25,,,B
95,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
20,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
20,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
20,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
20,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,T
20,attraction,025,Da,1309.0,-1.35,1923.0,-2.5,1155.0,-1.64,B
20,compromise,016,Cb,26.0,9.0,33.0,5.0,40.0,1.0,B
156,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
156,pairwise,011,,4.5,77.0,7.2,56.0,,,B
156,similarity,016,Sb,26.0,9.0,33.0,5.0,27.0,8.0,T
156,compromise,036,Ca,407.0,-2.58,452.0,-2.85,363.0,-2.32,B
156,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
156,attraction,025,Da,1309.0,-1.35,1923.0,-2.5,1155.0,-1.64,B
170,pairwise,016,,26.0,9.0,33.0,5.0,,,B
170,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
170,similarity,021,Sa,-19.93,14.55,-13.49,9.25,-13.62,9.36,A
170,attraction,018,Db,3.04,-4.97,5.62,-7.83,4.98,-8.55,T
170,compromise,036,Cb,407.0,-2.58,452.0,-2.85,497.0,-3.12,T
170,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
267,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
267,compromise,036,Cb,407.0,-2.58,452.0,-2.85,497.0,-3.12,B
267,attraction,015,Db,-9.49,356.0,-6.49,259.0,-7.24,235.0,B
267,similarity,016,Sb,26.0,9.0,33.0,5.0,27.0,8.0,A
267,pairwise,011,,4.5,77.0,7.2,56.0,,,A
267,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
85,similarity,025,Sb,1309.0,-1.35,1923.0,-2.5,1321.0,-1.37,B
85,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
85,compromise,016,Ca,26.0,9.0,33.0,5.0,20.0,12.0,T
85,attraction,011,Db,4.5,77.0,7.2,56.0,6.5,51.0,A
85,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
85,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
114,compromise,015,Ca,-9.49,356.0,-6.49,259.0,-12.48,452.0,A
114,pairwise,016,,26.0,9.0,33.0,5.0,,,B
114,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
114,pairwise,011,,4.5,77.0,7.2,56.0,,,A
114,similarity,026,Sa,-64.7,325.0,-39.3,203.0,-39.8,205.0,A
114,attraction,018,Da,3.04,-4.97,5.62,-7.83,2.39,-5.69,T
117,attraction,011,Db,4.5,77.0,7.2,56.0,6.5,51.0,B
117,compromise,016,Cb,26.0,9.0,33.0,5.0,40.0,1.0,T
117,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
117,similarity,018,Sa,3.04,-4.97,5.62,-7.83,5.57,-7.77,A
117,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
117,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
155,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
155,compromise,021,Ca,-19.93,14.55,-13.49,9.25,-26.36,19.84,T
155,attraction,011,Da,4.5,77.0,7.2,56.0,3.8,72.0,A
155,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
155,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
155,similarity,025,Sa,1309.0,-1.35,1923.0,-2.5,1911.0,-2.48,B
82,compromise,018,Ca,3.04,-4.97,5.62,-7.83,0.47,-2.12,A
82,pairwise,011,,4.5,77.0,7.2,56.0,,,A
82,pairwise,016,,26.0,9.0,33.0,5.0,,,B
82,similarity,015,Sb,-9.49,356.0,-6.49,259.0,-9.43,354.0,B
82,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
82,attraction,026,Da,-64.7,325.0,-39.3,203.0,-71.1,294.0,B
131,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
131,similarity,015,Sa,-9.49,356.0,-6.49,259.0,-6.55,261.0,A
131,compromise,036,Cb,407.0,-2.58,452.0,-2.85,497.0,-3.12,A
131,attraction,025,Da,1309.0,-1.35,1923.0,-2.5,1155.0,-1.64,B
131,pairwise,011,,4.5,77.0,7.2,56.0,,,A
131,pairwise,016,,26.0,9.0,33.0,5.0,,,B
344,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
344,compromise,015,Ca,-9.49,356.0,-6.49,259.0,-12.48,452.0,B
344,pairwise,011,,4.5,77.0,7.2,56.0,,,A
344,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
344,similarity,036,Sa,407.0,-2.58,452.0,-2.85,451.0,-2.84,T
344,attraction,021,Db,-19.93,14.55,-13.49,9.25,-15.1,7.92,A
142,pairwise,016,,26.0,9.0,33.0,5.0,,,B
142,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
142,similarity,026,Sb,-64.7,325.0,-39.3,203.0,-64.2,323.0,A
142,attraction,018,Da,3.04,-4.97,5.62,-7.83,2.39,-5.69,A
142,compromise,036,Ca,407.0,-2.58,452.0,-2.85,363.0,-2.32,B
142,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
327,similarity,026,Sb,-64.7,325.0,-39.3,203.0,-64.2,323.0,B
327,pairwise,011,,4.5,77.0,7.2,56.0,,,A
327,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
327,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
327,compromise,015,Cb,-9.49,356.0,-6.49,259.0,-3.49,162.0,A
327,attraction,036,Db,407.0,-2.58,452.0,-2.85,441.0,-2.92,B
56,pairwise,011,,4.5,77.0,7.2,56.0,,,A
56,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
56,attraction,026,Db,-64.7,325.0,-39.3,203.0,-45.6,172.0,B
56,compromise,021,Ca,-19.93,14.55,-13.49,9.25,-26.36,19.84,A
56,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
56,similarity,015,Sa,-9.49,356.0,-6.49,259.0,-6.55,261.0,A
188,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
188,attraction,021,Da,-19.93,14.55,-13.49,9.25,-21.54,13.22,B
188,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
188,similarity,026,Sb,-64.7,325.0,-39.3,203.0,-64.2,323.0,A
188,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
188,compromise,016,Cb,26.0,9.0,33.0,5.0,40.0,1.0,B
26,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
26,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
26,similarity,018,Sa,3.04,-4.97,5.62,-7.83,5.57,-7.77,B
26,pairwise,016,,26.0,9.0,33.0,5.0,,,B
26,attraction,021,Db,-19.93,14.55,-13.49,9.25,-15.1,7.92,B
26,compromise,026,Cb,-64.7,325.0,-39.3,203.0,-13.9,81.0,B
280,compromise,036,Cb,407.0,-2.58,452.0,-2.85,497.0,-3.12,B
280,attraction,025,Db,1309.0,-1.35,1923.0,-2.5,1770.0,-2.79,B
280,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
280,pairwise,011,,4.5,77.0,7.2,56.0,,,A
280,similarity,016,Sb,26.0,9.0,33.0,5.0,27.0,8.0,T
280,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
225,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
225,pairwise,016,,26.0,9.0,33.0,5.0,,,A
225,compromise,036,Cb,407.0,-2.58,452.0,-2.85,497.0,-3.12,T
225,attraction,025,Da,1309.0,-1.35,1923.0,-2.5,1155.0,-1.64,B
225,similarity,015,Sa,-9.49,356.0,-6.49,259.0,-6.55,261.0,A
225,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
34,pairwise,011,,4.5,77.0,7.2,56.0,,,A
34,attraction,026,Da,-64.7,325.0,-39.3,203.0,-71.1,294.0,A
34,compromise,015,Ca,-9.49,356.0,-6.49,259.0,-12.48,452.0,B
34,similarity,025,Sa,1309.0,-1.35,1923.0,-2.5,1911.0,-2.48,A
34,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
34,pairwise,016,,26.0,9.0,33.0,5.0,,,A
58,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,B
58,pairwise,016,,26.0,9.0,33.0,5.0,,,A
58,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
58,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
58,compromise,025,Cb,1309.0,-1.35,1923.0,-2.5,2537.0,-3.65,T
58,attraction,011,Da,4.5,77.0,7.2,56.0,3.8,72.0,A
182,compromise,015,Cb,-9.49,356.0,-6.49,259.0,-3.49,162.0,B
182,pairwise,011,,4.5,77.0,7.2,56.0,,,A
182,attraction,021,Da,-19.93,14.55,-13.49,9.25,-21.54,13.22,A
182,similarity,018,Sa,3.04,-4.97,5.62,-7.83,5.57,-7.77,A
182,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
182,pairwise,016,,26.0,9.0,33.0,5.0,,,A
46,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
46,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
46,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
46,attraction,011,Db,4.5,77.0,7.2,56.0,6.5,51.0,B
46,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,T
46,compromise,021,Cb,-19.93,14.55,-13.49,9.25,-7.05,3.95,B
128,attraction,026,Db,-64.7,325.0,-39.3,203.0,-45.6,172.0,B
128,similarity,036,Sa,407.0,-2.58,452.0,-2.85,451.0,-2.84,B
128,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
128,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
128,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
128,compromise,018,Ca,3.04,-4.97,5.62,-7.83,0.47,-2.12,A
334,pairwise,016,,26.0,9.0,33.0,5.0,,,A
334,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
334,compromise,021,Ca,-19.93,14.55,-13.49,9.25,-26.36,19.84,A
334,similarity,018,Sa,3.04,-4.97,5.62,-7.83,5.57,-7.77,T
334,attraction,015,Db,-9.49,356.0,-6.49,259.0,-7.24,235.0,B
334,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
252,attraction,015,Da,-9.49,356.0,-6.49,259.0,-10.24,332.0,A
252,pairwise,016,,26.0,9.0,33.0,5.0,,,B
252,similarity,036,Sa,407.0,-2.58,452.0,-2.85,451.0,-2.84,B
252,compromise,018,Ca,3.04,-4.97,5.62,-7.83,0.47,-2.12,T
252,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
252,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
324,pairwise,011,,4.5,77.0,7.2,56.0,,,A
324,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
324,similarity,021,Sb,-19.93,14.55,-13.49,9.25,-19.8,14.44,B
324,attraction,025,Db,1309.0,-1.35,1923.0,-2.5,1770.0,-2.79,A
324,compromise,036,Ca,407.0,-2.58,452.0,-2.85,363.0,-2.32,B
324,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
270,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
270,compromise,018,Cb,3.04,-4.97,5.62,-7.83,8.2,-10.69,B
270,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
270,similarity,015,Sb,-9.49,356.0,-6.49,259.0,-9.43,354.0,T
270,attraction,025,Db,1309.0,-1.35,1923.0,-2.5,1770.0,-2.79,A
270,pairwise,011,,4.5,77.0,7.2,56.0,,,A
316,compromise,036,Cb,407.0,-2.58,452.0,-2.85,497.0,-3.12,B
316,similarity,021,Sb,-19.93,14.55,-13.49,9.25,-19.8,14.44,A
316,attraction,025,Db,1309.0,-1.35,1923.0,-2.5,1770.0,-2.79,B
316,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
316,pairwise,011,,4.5,77.0,7.2,56.0,,,A
316,pairwise,016,,26.0,9.0,33.0,5.0,,,B
234,attraction,025,Da,1309.0,-1.35,1923.0,-2.5,1155.0,-1.64,A
234,compromise,021,Ca,-19.93,14.55,-13.49,9.25,-26.36,19.84,A
234,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
234,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
234,similarity,016,Sb,26.0,9.0,33.0,5.0,27.0,8.0,B
234,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
304,similarity,011,Sa,4.5,77.0,7.2,56.0,7.1,57.0,A
304,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
304,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
304,pairwise,016,,26.0,9.0,33.0,5.0,,,B
304,attraction,025,Db,1309.0,-1.35,1923.0,-2.5,1770.0,-2.79,B
304,compromise,018,Ca,3.04,-4.97,5.62,-7.83,0.47,-2.12,A
196,attraction,011,Da,4.5,77.0,7.2,56.0,3.8,72.0,A
196,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
196,similarity,018,Sa,3.04,-4.97,5.62,-7.83,5.57,-7.77,A
196,compromise,015,Cb,-9.49,356.0,-6.49,259.0,-3.49,162.0,B
196,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
196,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
295,compromise,026,Cb,-64.7,325.0,-39.3,203.0,-13.9,81.0,B
295,similarity,036,Sa,407.0,-2.58,452.0,-2.85,451.0,-2.84,A
295,attraction,016,Db,26.0,9.0,33.0,5.0,31.0,4.0,T
295,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
295,pairwise,011,,4.5,77.0,7.2,56.0,,,B
295,pairwise,021,,-19.93,14.55,-13.49,9.25,,,B
33,attraction,021,Da,-19.93,14.55,-13.49,9.25,-21.54,13.22,A
33,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,T
33,pairwise,011,,4.5,77.0,7.2,56.0,,,A
33,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
33,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
33,compromise,016,Ca,26.0,9.0,33.0,5.0,20.0,12.0,A
174,attraction,011,Da,4.5,77.0,7.2,56.0,3.8,72.0,A
174,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
174,compromise,026,Ca,-64.7,325.0,-39.3,203.0,-90.0,446.0,A
174,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
174,similarity,016,Sb,26.0,9.0,33.0,5.0,27.0,8.0,A
174,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
136,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
136,attraction,018,Da,3.04,-4.97,5.62,-7.83,2.39,-5.69,B
136,pairwise,021,,-19.93,14.55,-13.49,9.25,,,B
136,compromise,011,Cb,4.5,77.0,7.2,56.0,9.9,35.0,A
136,pairwise,016,,26.0,9.0,33.0,5.0,,,B
136,similarity,025,Sb,1309.0,-1.35,1923.0,-2.5,1321.0,-1.37,A
48,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
48,pairwise,016,,26.0,9.0,33.0,5.0,,,A
48,attraction,011,Da,4.5,77.0,7.2,56.0,3.8,72.0,B
48,similarity,036,Sa,407.0,-2.58,452.0,-2.85,451.0,-2.84,T
48,compromise,021,Ca,-19.93,14.55,-13.49,9.25,-26.36,19.84,T
48,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
205,compromise,011,Ca,4.5,77.0,7.2,56.0,1.9,97.0,A
205,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
205,attraction,036,Db,407.0,-2.58,452.0,-2.85,441.0,-2.92,B
205,similarity,021,Sb,-19.93,14.55,-13.49,9.25,-19.8,14.44,A
205,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
205,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
250,compromise,011,Cb,4.5,77.0,7.2,56.0,9.9,35.0,A
250,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
250,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
250,attraction,018,Db,3.04,-4.97,5.62,-7.83,4.98,-8.55,T
250,similarity,025,Sb,1309.0,-1.35,1923.0,-2.5,1321.0,-1.37,B
250,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
278,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
278,similarity,018,Sa,3.04,-4.97,5.62,-7.83,5.57,-7.77,A
278,compromise,015,Cb,-9.49,356.0,-6.49,259.0,-3.49,162.0,T
278,attraction,011,Db,4.5,77.0,7.2,56.0,6.5,51.0,A
278,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
278,pairwise,016,,26.0,9.0,33.0,5.0,,,B
160,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
160,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
160,similarity,016,Sa,26.0,9.0,33.0,5.0,32.0,6.0,T
160,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
160,attraction,011,Da,4.5,77.0,7.2,56.0,3.8,72.0,A
160,compromise,036,Ca,407.0,-2.58,452.0,-2.85,363.0,-2.32,B
273,attraction,036,Da,407.0,-2.58,452.0,-2.85,396.0,-2.65,B
273,pairwise,011,,4.5,77.0,7.2,56.0,,,B
273,compromise,021,Cb,-19.93,14.55,-13.49,9.25,-7.05,3.95,A
273,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
273,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
273,similarity,016,Sa,26.0,9.0,33.0,5.0,32.0,6.0,T
274,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
274,pairwise,015,,-9.49,356.0,-6.49,259.0,,,B
274,pairwise,021,,-19.93,14.55,-13.49,9.25,,,B
274,attraction,011,Db,4.5,77.0,7.2,56.0,6.5,51.0,B
274,compromise,025,Ca,1309.0,-1.35,1923.0,-2.5,696.0,-0.21,T
274,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,B
319,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
319,attraction,026,Db,-64.7,325.0,-39.3,203.0,-45.6,172.0,A
319,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
319,compromise,016,Cb,26.0,9.0,33.0,5.0,40.0,1.0,B
319,similarity,011,Sb,4.5,77.0,7.2,56.0,4.6,76.0,A
319,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
254,similarity,018,Sa,3.04,-4.97,5.62,-7.83,5.57,-7.77,A
254,attraction,025,Db,1309.0,-1.35,1923.0,-2.5,1770.0,-2.79,B
254,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
254,pairwise,011,,4.5,77.0,7.2,56.0,,,B
254,pairwise,021,,-19.93,14.55,-13.49,9.25,,,B
254,compromise,026,Cb,-64.7,325.0,-39.3,203.0,-13.9,81.0,B
70,similarity,025,Sb,1309.0,-1.35,1923.0,-2.5,1321.0,-1.37,B
70,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
70,pairwise,036,,407.0,-2.58,452.0,-2.85,,,B
70,attraction,021,Da,-19.93,14.55,-13.49,9.25,-21.54,13.22,A
70,pairwise,018,,3.04,-4.97,5.62,-7.83,,,B
70,compromise,016,Ca,26.0,9.0,33.0,5.0,20.0,12.0,B
2,compromise,026,Cb,-64.7,325.0,-39.3,203.0,-13.9,81.0,B
2,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,B
2,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
2,similarity,036,Sa,407.0,-2.58,452.0,-2.85,451.0,-2.84,T
2,pairwise,016,,26.0,9.0,33.0,5.0,,,A
2,attraction,011,Da,4.5,77.0,7.2,56.0,3.8,72.0,B
79,pairwise,036,,407.0,-2.58,452.0,-2.85,,,A
79,similarity,015,Sb,-9.49,356.0,-6.49,259.0,-9.43,354.0,T
79,attraction,018,Da,3.04,-4.97,5.62,-7.83,2.39,-5.69,A
79,compromise,011,Cb,4.5,77.0,7.2,56.0,9.9,35.0,B
79,pairwise,026,,-64.7,325.0,-39.3,203.0,,,B
79,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
306,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
306,pairwise,011,,4.5,77.0,7.2,56.0,,,A
306,similarity,026,Sb,-64.7,325.0,-39.3,203.0,-64.2,323.0,T
306,pairwise,016,,26.0,9.0,33.0,5.0,,,B
306,compromise,018,Ca,3.04,-4.97,5.62,-7.83,0.47,-2.12,A
306,attraction,021,Db,-19.93,14.55,-13.49,9.25,-15.1,7.92,A
238,pairwise,018,,3.04,-4.97,5.62,-7.83,,,A
238,pairwise,016,,26.0,9.0,33.0,5.0,,,B
238,attraction,011,Db,4.5,77.0,7.2,56.0,6.5,51.0,A
238,similarity,021,Sa,-19.93,14.55,-13.49,9.25,-13.62,9.36,B
238,pairwise,026,,-64.7,325.0,-39.3,203.0,,,A
238,compromise,036,Ca,407.0,-2.58,452.0,-2.85,363.0,-2.32,A
195,pairwise,021,,-19.93,14.55,-13.49,9.25,,,A
195,pairwise,015,,-9.49,356.0,-6.49,259.0,,,A
195,similarity,018,Sb,3.04,-4.97,5.62,-7.83,3.09,-5.03,B
195,compromise,036,Cb,407.0,-2.58,452.0,-2.85,497.0,-3.12,T
195,pairwise,011,,4.5,77.0,7.2,56.0,,,A
195,attraction,025,Db,1309.0,-1.35,1923.0,-2.5,1770.0,-2.79,B
93,pairwise,011,,4.5,77.0,7.2,56.0,,,A
93,similarity,021,Sb,-19.93,14.55,-13.49,9.25,-19.8,14.44,A
93,attraction,026,Da,-64.7,325.0,-39.3,203.0,-71.1,294.0,A
93,compromise,015,Cb,-9.49,356.0,-6.49,259.0,-3.49,162.0,A
93,pairwise,025,,1309.0,-1.35,1923.0,-2.5,,,A
